MKT,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,GRASIM INDUSTRIES LTD,      2067.85,      2067.00,      2069.00,      2036.20,      2053.65,               1802670390.10,877519,Y, ,93295,      2175.00,      1527.05
N,HCL TECHNOLOGIES LTD,      1575.90,      1577.00,      1584.20,      1537.05,      1567.55,               5017518002.35,3205598,Y, ,188018,      1619.60,      1016.25
N,HDFC BANK LTD,      1537.50,      1494.00,      1515.00,      1480.05,      1486.15,             120402678844.55,80535465,Y, ,1582497,      1757.50,      1460.25
N,HDFC LIFE INS CO LTD,       606.60,       608.00,       612.30,       600.60,       607.80,               2223561112.55,3658639,Y, ,132761,       710.60,       457.80
N,HERO MOTOCORP LIMITED,      4370.85,      4334.00,      4411.65,      4296.90,      4394.00,               2497689506.90,570816,Y, ,57969,      4450.00,      2246.00
N,HINDALCO  INDUSTRIES  LTD,       560.25,       560.25,       561.35,       547.80,       554.90,               2098662172.60,3784905,Y, ,84700,       620.50,       381.00
N,HINDUSTAN UNILEVER LTD.,      2562.90,      2570.00,      2570.00,      2537.55,      2548.00,               3245896340.20,1273095,Y, ,120632,      2769.65,      2393.00
N,ICICI BANK LTD.,       981.75,       973.95,       994.30,       970.15,       986.35,              17626126346.95,17902484,Y, ,405442,      1043.70,       796.00
N,INDUSIND BANK LIMITED,      1643.90,      1634.95,      1639.60,      1595.10,      1612.90,               5753327689.80,3557256,Y, ,237030,      1694.50,       990.00
N,INFOSYS LIMITED,      1640.20,      1642.65,      1649.00,      1628.25,      1642.60,              10451208678.00,6375464,Y, ,227265,      1664.95,      1185.30
N,ITC LTD,       466.60,       465.25,       467.85,       454.55,       465.50,               4241036943.75,9143784,Y, ,162645,       499.70,       327.55
N,JSW STEEL LIMITED,       812.65,       812.50,       814.50,       792.60,       803.65,               1598056277.65,1991900,Y, ,103831,       895.75,       649.05
N,KOTAK MAHINDRA BANK LTD,      1779.65,      1770.00,      1792.70,      1764.60,      1777.25,               7634869689.25,4293450,Y, ,175035,      2064.40,      1643.50
N,LARSEN & TOUBRO LTD.,      3570.95,      3570.80,      3616.95,      3525.00,      3596.00,               7719357081.85,2148898,Y, ,183094,      3616.95,      2072.65
N,MAHINDRA & MAHINDRA LTD,      1597.70,      1600.00,      1623.30,      1580.65,      1617.25,               3748640616.60,2328588,Y, ,162681,      1758.00,      1123.40
N,MARUTI SUZUKI INDIA LTD.,     10051.70,      9946.05,     10050.00,      9737.65,      9924.50,               6099470047.30,614860,Y, ,107833,     10932.85,      8130.00
N,NESTLE INDIA LIMITED,      2543.10,      2535.00,      2550.00,      2496.15,      2502.00,               1596607173.65,634910,Y, ,86554,     27693.00,      2496.15
N,NTPC LTD,       309.30,       308.95,       311.30,       296.55,       299.30,               9756175573.20,32481018,Y, ,266924,       325.65,       162.55
N,OIL AND NATURAL GAS CORP.,       232.05,       230.05,       234.50,       224.65,       233.55,               4440943700.25,19232183,Y, ,154268,       238.95,       140.10
