MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,NC,TATACAP,UNSERENCD8.85%SRIVCIII&IV,      1000.00,      1065.00,      1065.00,      1064.00,      1064.00,                    22364.00,21, ,3,      1065.00,      1064.00
N,ND,CHOLAFIN,SEC RE NCD SR 2,       985.00,       980.00,       980.00,       961.01,       961.01,                    96670.70,100, ,2,       990.00,       948.00
N,ND,CREDITACC,SEC RE NCD 9.70% SR VII,      1008.43,      1008.40,      1008.69,      1008.30,      1008.65,                   224928.62,223, ,5,      1045.00,       980.00
N,ND,HUDCO,8.76% TAX FREETRI SR2B,      1149.19,      1164.70,      1164.70,      1161.75,      1161.75,                    52361.00,45, ,3,      1235.00,      1130.01
N,ND,IBUCCREDIT,SERENCD9.20%SRVIICIII&IV,       950.00,       900.70,       900.70,       900.70,       900.70,                     9007.00,10, ,1,      1014.00,       800.00
N,ND,IIHFL,SEC RE NCD 8.75% SR.VII,       940.00,       940.00,       940.00,       940.00,       940.00,                    56400.00,60, ,1,      1000.00,       910.00
N,ND,INDIGRID,SEC RE NCD 7.60% SR.II,      1020.00,       998.00,      1022.00,       998.00,      1014.00,                   208440.00,204, ,3,      1048.00,       870.00
N,ND,NHAI,TAX FREE 7.39% SR. IIA,      1168.50,      1168.50,      1184.40,      1168.50,      1174.26,                     3522.80,3, ,3,      1200.00,      1010.10
N,ND,NTPC,TFB 7.62% 2035 SR. 3B,      1216.00,      1190.01,      1190.01,      1190.01,      1190.01,                     3570.03,3, ,1,      1288.00,      1170.00
N,NE,HUDCO,9.01% TAX FREETRII SR3B,      1281.61,      1281.60,      1283.99,      1281.60,      1283.99,                    38471.90,30, ,2,      1399.00,      1265.00
N,NE,IBULHSGFIN,UNS RED NCD 9.15% SR.IX,       960.00,       959.99,       959.99,       950.00,       950.74,                   328351.77,343, ,7,      1015.00,       897.05
N,NE,IIFL,UNSE RE NCD 10% SR.I,      1070.95,      1050.50,      1050.50,      1041.20,      1050.50,                   975755.20,933, ,8,      1091.10,       900.00
N,NE,IRFC,BOND 8.88% PA TF TII-SIIB,      1222.00,      1223.00,      1244.00,      1223.00,      1223.79,                   121122.70,99, ,9,      1277.90,      1160.00
N,NE,NHAI,TAX FREE 7.69% SR. IIB,      1159.90,      1159.90,      1159.90,      1157.00,      1157.10,                   688471.30,595, ,5,      1205.90,      1128.00
N,NE,RECLTD,BOND8.44% PA TF TR II S1B,      1024.00,      1020.00,      1020.00,      1020.00,      1020.00,                   102000.00,100, ,1,      1223.99,      1010.30
N,NF,DHANILOANS,DHANI LOANS & SERV LTD,       976.65,       978.36,       978.45,       978.36,       978.45,                    16633.20,17, ,2,      1008.00,       940.00
N,NF,IIFL,UNSE RE NCD 9.6% SR.II,       978.02,       977.00,       977.00,       971.50,       972.57,                  1726069.72,1773, ,32,      1003.00,       951.80
N,NF,RECLTD,BOND8.88% PA TF TR II S2B,      1147.81,      1199.99,      1200.00,      1147.62,      1147.62,                   241146.62,201, ,3,      1259.99,      1126.00
N,NH,IFCI,9.90 % SRNCD SR VI,      1013.95,      1012.00,      1014.50,      1012.00,      1013.93,                   528198.80,521, ,17,      1099.00,       999.00
N,NI,IBUCCREDIT,SEC RE NCD 10.05% SR.IV,      1099.00,       876.00,       876.00,       876.00,       876.00,                   175200.00,200,XI,16,      1099.80,       876.00
N,NI,IRFC,TAX FREE  7.32% SR. 102 A,      1044.25,      1059.90,      1059.90,      1045.20,      1045.20,                     3150.30,3, ,3,      1109.99,      1010.00
N,NI,RECLTD,8.12/8.32% TAX FREE NCD,      1129.00,      1127.99,      1127.99,      1127.99,      1127.99,                   107159.05,95, ,1,      1178.00,      1071.00
N,NJ,ECLFINANCE,SEC RED NCD 9.43% SR. VI,       983.00,       985.00,       985.00,       982.00,       982.00,                    58034.98,59, ,4,       999.00,       948.00
N,NJ,INDIGRID,SEC RE NCD 8.20% SR.V,      1052.00,      1048.50,      1055.00,      1048.50,      1055.00,                  1219651.50,1160, ,11,      1083.00,      1000.00
N,NJ,IRFC,TAX FREE  7.53% SR. 103 A,      1127.21,      1139.00,      1139.00,      1138.99,      1138.99,                     2277.99,2, ,2,      1197.79,      1100.00
N,NJ,L&TFIN,SERENCD 8.60% SR.IV OP8,      1005.75,      1005.30,      1007.50,      1005.00,      1006.00,                   749095.91,745, ,17,      1009.00,       996.00
N,NK,ECLFINANCE,SEC RED NCD 9.85% SR. VII,      1000.00,      1000.00,      1000.00,      1000.00,      1000.00,                    10000.00,10, ,1,      1170.00,       920.00
N,NK,IBUCCREDIT,SEC RE NCD 9.61% SR.VI,      1000.00,       799.00,       799.00,       799.00,       799.00,                    35955.00,45,XI,5,       799.00,       799.00
N,NL,IFCI,9.40 % SRNCD TR II SR III,      1083.00,      1083.00,      1087.00,      1083.00,      1087.00,                    74887.00,69, ,2,      1123.99,      1003.00
N,NL,IIFL,SEC RE NCD 8.42% SR.V,       947.75,       954.00,       954.00,       954.00,       954.00,                    93492.00,98, ,4,       994.50,       925.00
N,NM,IBUCCREDIT,SEC RE NCD 10.30% SR.VII,       973.20,       930.00,       930.00,       930.00,       930.00,                     9300.00,10,XI,1,      1050.00,       800.00
N,NN,L&TFIN,SERENCD 8.65% SR.VI OP12,      1012.00,      1015.00,      1015.00,      1015.00,      1015.00,                   131950.00,130, ,2,      1020.00,      1005.00
N,NO,IBUCCREDIT,SEC RE NCD 9.85% SR.VIII,       999.00,       945.00,       950.00,       930.00,       945.00,                   811244.66,857,XI,92,      1000.00,       817.21
N,NO,IIFL,SEC RE NCD 8.5% SR.I,       962.11,       962.88,       964.55,       962.88,       964.03,                   548454.72,569, ,6,      1049.90,       960.00
N,NO,IRFC,TAX FREE  7.64% SR. 108A,      1136.19,      1136.00,      1140.00,      1132.11,      1140.00,                   250681.10,220, ,5,      1208.85,      1112.50
N,NQ,IIFL,SEC RE NCD 8.75% SR.III,       964.80,       964.80,       964.80,       964.80,       964.80,                      964.80,1, ,1,      1025.00,       930.55
N,NR,ECLFINANCE,SEC RED NCD 10.15% SR. VI,      1005.85,      1001.80,      1005.00,      1000.00,      1001.42,                   794200.00,793, ,26,      1119.15,       973.11
N,NS,IIFL,SEC RE NCD 8.65% SR.V,       929.00,       947.00,       947.00,       926.16,       927.11,                   591336.50,636, ,14,      1000.00,       900.00
N,NT,IBULHSG,SEC RE NCD 9.71% SR VIII,       925.00,       925.00,       950.00,       925.00,       950.00,                    46875.00,50, ,3,      1000.00,       912.00
N,NT,IIFL,SEC RE NCD 9% SR.VI,       940.15,       942.90,       942.90,       940.15,       940.15,                    18816.75,20, ,3,      1035.00,       940.15
N,NV,DHANILOANS,SEC RE NCD 11% SR.V,      1112.00,      1006.46,      1006.46,      1006.46,      1006.46,                     2012.92,2, ,1,      1187.80,       869.00
N,NV,IBULHSG,SEC RE NCD 10.03% SR X,       975.00,       964.00,       964.00,       964.00,       964.00,                    20244.00,21, ,1,       981.00,       910.20
N,NV,IIFL,SEC RE NCD 8.35% SR.I,       996.00,      1000.00,      1016.70,       997.00,      1015.09,                   799385.50,797, ,15,      1049.00,       830.00
N,NW,DHANILOANS,SEC RE NCD 0% SR.VI,      1212.00,      1207.00,      1207.00,      1207.00,      1207.00,                   120700.00,100, ,1,      1224.00,       851.00
N,NW,IIFL,SEC RE NCD 0% SR.II,      1001.92,      1005.65,      1018.00,       982.70,       982.70,                   352898.50,350, ,9,      1018.00,       900.00
N,NX,IIFL,SEC RE NCD 8.5% SR.III,       987.45,       995.45,       995.45,       995.45,       995.45,                     4977.25,5, ,1,      1010.00,       920.35
N,NZ,IIFL,SEC RE NCD 8.65% SR.V,       928.00,       928.00,       930.00,       928.00,       930.00,                   446312.01,480, ,11,      1000.00,       900.00
N,Y0,IIFL,SEC RE NCD 9% SR.VI,       987.40,       950.20,       950.20,       930.00,       930.00,                   212923.00,225, ,4,      1000.00,       901.00
N,Y1,IBULHSG,SEC RE NCD 9.65% SR I,       961.00,       961.00,       980.00,       961.00,       980.00,                    19410.00,20, ,5,       995.00,       910.20
N,YL,SHRIRAMFIN,SEC RED NCD 9.40% SR. V,      1068.00,      1068.00,      1068.00,      1067.50,      1067.80,                   222084.25,208, ,9,      1124.00,      1030.00
N,YM,IBULHSG,SEC RE NCD 10.25% SR XII,       995.00,       990.00,       990.00,       990.00,       990.00,                     9900.00,10, ,1,      1000.00,       990.00
N,YM,IBULHSGFIN,SEC RE NCD 9% SR.IV,      1029.00,      1002.00,      1002.00,      1002.00,      1002.00,                     9018.00,9, ,1,      1099.00,       900.85
N,YN,IBULHSGFIN,SEC RE NCD SR.V,      1062.75,      1116.02,      1116.02,      1100.00,      1100.00,                    13231.92,12, ,3,      1116.02,       920.31
N,YP,SHRIRAMFIN,SEC RED NCD 9.30% SR. II,      1025.10,      1028.00,      1031.00,      1028.00,      1030.50,                    36060.00,35, ,4,      1250.00,      1000.00
N,YV,IBULHSGFIN,SEC RE NCD 9.05% SR.I,      1012.65,      1012.65,      1012.65,      1012.65,      1012.65,                    10126.50,10, ,1,      1060.00,       930.10
N,YV,SHRIRAMFIN,SEC RED NCD 9.12% SR. I,       995.00,       995.00,       995.00,       995.00,       995.00,                   255715.00,257, ,6,      1022.50,       986.00
N,YY,SHRIRAMFIN,SEC RED NCD 9.50% SR. IV,      1084.16,      1057.06,      1257.50,      1057.06,      1090.00,                    97143.00,90, ,6,      1280.00,      1000.01
N,Z2,SHRIRAMFIN,SEC RED NCD SR. VII,      1554.33,      1559.00,      1559.00,      1550.00,      1558.00,                   353552.55,227, ,10,      1559.00,      1356.11
N,Z4,SHRIRAMFIN,SEC RED NCD 9.22% SR.II,      1015.00,       989.14,       999.00,       971.01,       984.51,                   295354.75,300, ,11,      1220.00,       971.01
N,Z9,IBULHSGFIN,SEC RE NCD 9.15% SR.VIII,       950.00,       949.95,       950.00,       949.95,       950.00,                    94996.80,100, ,4,       990.00,       815.45
N,ZB,SHRIRAMFIN,SEC RED NCD SR.IX,      1475.00,      1475.00,      1475.00,      1475.00,      1475.00,                   368750.00,250, ,1,      1500.00,      1289.50
N,ZF,IBULHSGFIN,SEC RE NCD 8.70% SR.III,       960.00,       979.90,       979.90,       979.90,       979.90,                     8819.10,9, ,1,      1080.00,       810.00
N,ZH,SHRIRAMFIN,SEC RED NCD 9% SR.V,       998.00,       998.00,       998.00,       995.10,       995.10,                    59725.30,60, ,4,      1081.00,       988.00
N,ZI,SHRIRAMFIN,SEC RED NCD 9.10% SR.VI,      1084.00,      1000.00,      1000.00,      1000.00,      1000.00,                   505000.00,505, ,50,      1084.00,       991.00
N,ZJ,IBULHSGFIN,SEC RE NCD SR.V,      1028.96,      1028.96,      1028.96,      1028.96,      1028.96,                     1028.96,1, ,1,      1029.00,       865.00
N,ZU,IBULHSGFIN,SEC RE NCD 9.55% SR.IV,       900.00,       900.00,       900.00,       875.00,       890.00,                    93939.00,107, ,8,      1050.21,       760.00
