MARKET,SERIES,SYMBOL,SECURITY,PREVIOUS CLOSE PRICE,OPEN PRICE,HIGH PRICE,LOW PRICE,CLOSE PRICE,NET TRADED VALUE,NET TRADED QTY,TRADES,52 WEEK HIGH,52 WEEK LOW,UNDERLYING
N,EQ,SDL26BEES,RELCAPAMC-NETFSDL26,       118.04,       117.98,       118.03,       117.98,       117.99,                   314065.11,2662,23,       121.40,       107.20,NIFTY SDL APR 2026 TOP 20 EQUAL WEIGHT
N,EQ,SENSEXETF,MIRAEAMC - SENSEXETF,        74.24,        74.24,        74.24,        71.14,        71.45,                  9915871.44,138469,1095,        82.00,        62.27,S&P BSE SENSEX
N,EQ,SENSEXIETF,ICICI PRUD SENSEX ETF,       799.06,       799.00,       799.00,       788.00,       791.91,                  7598772.74,9590,261,       819.64,       626.07,SENSEX
N,EQ,SETF10GILT,SBIAMC - SETF10GILT,       223.44,       223.74,       223.74,       223.20,       223.45,                  1213001.51,5429,62,       227.89,       205.94,NIFTY 10 YR BENCHMARK G-SEC INDEX
N,EQ,SETFGOLD,SBI-ETF GOLD,        54.25,        54.18,        54.19,        53.93,        54.16,                 25893357.86,478620,2306,        56.65,        48.21,GOLD
N,EQ,SETFNIF50,SBI-ETF NIFTY 50,       225.23,       224.50,       225.17,       222.52,       224.45,                162171364.66,723132,3991,       232.45,       174.41,NIFTY 50
N,EQ,SETFNIFBK,SBI-ETF NIFTY BANK,       466.44,       471.10,       485.20,       460.01,       462.62,                 50180218.85,108206,2547,       493.30,       388.50,NIFTY BANK
N,EQ,SETFNN50,SBI-ETF NIFTY NEXT 50,       570.59,       571.90,       571.90,       554.66,       567.83,                 19944328.71,35270,849,       579.80,       385.13,NIFTY NEXT 50
N,EQ,SHARIABEES,NIP IND ETF SHARIAH BEES,       498.63,       506.10,       520.00,       489.91,       496.79,                   932258.58,1887,137,       520.00,       380.00,SHARIAH INDEX
N,EQ,SILVER,BIRLASLAMC - SILVER,        72.60,        72.60,        72.60,        71.99,        72.48,                  3358715.70,46342,504,        78.99,        57.81,SILVER
N,EQ,SILVERBEES,NIPPONAMC - NETFSILVER,        70.07,        70.07,        70.07,        69.69,        69.85,                215863174.35,3091906,11891,        76.27,        60.79,SILVER
N,EQ,SILVERETF,UTIAMC - SILVERETF,        71.22,        71.22,        71.45,        70.86,        71.04,                  7074849.44,99612,430,        89.37,        66.60,SILVER
N,EQ,SILVERIETF,ICICIPRAMC - ICICISILVE,        72.66,        72.54,        72.65,        72.30,        72.50,                 20924471.97,288654,1152,        79.41,        63.09,SILVER
N,EQ,SILVRETF,MIRAEAMC - MASILVER,        70.99,        71.04,        71.18,        70.89,        71.00,                   155378.05,2189,38,        77.83,        67.01,SILVER
N,EQ,TATAGOLD,TATAAML-TATAGOLD,         7.10,         8.50,         8.50,         6.10,         6.20,                 36985665.75,5678142,7807,         8.50,         6.10,GOLD
N,EQ,TATSILV,TATAAML-TATSILV,         8.08,         8.08,         9.17,         7.00,         7.12,                 10143373.13,1370173,2346,         9.17,         7.00,SILVER
N,EQ,TECH,BIRLASLAMC - TECH,        38.14,        38.90,        38.90,        37.34,        37.89,                   614416.58,16239,280,        40.40,        26.63,NIFTY IT TRI
N,EQ,TNIDETF,TATAAML - TNIDETF,        77.82,        78.45,        78.45,        75.51,        77.34,                  5045548.65,65827,1247,        80.91,        50.60,NIFTY INDIA DIGITAL INDEX
N,EQ,UTIBANKETF,UTIAMC - UTIBANKETF,        46.93,        46.85,        47.30,        46.12,        46.54,                 15160739.99,325236,2970,        49.70,        39.03,NIFTY BANK INDEX
N,EQ,UTINEXT50,UTIAMC - UTINEXT50,        57.37,        57.87,        57.87,        55.98,        56.93,                  1021654.32,18031,322,        58.70,        38.44,NIFTY NEXT 50
N,EQ,UTINIFTETF,UTIAMC - UTINIFTETF,       232.18,       231.76,       231.76,       229.12,       231.15,                 16825363.00,73017,295,      2168.80,       202.55,NIFTY 50
N,EQ,UTISENSETF,UTIAMC - UTISENSETF,       772.94,       771.01,       771.01,       759.27,       766.35,                  1055499.26,1382,156,       811.00,       568.90,SENSEX
N,EQ,UTISXN50,UTIAMC - UTISXN50,        69.59,        69.59,        71.55,        67.90,        69.18,                   431049.61,6262,72,        78.00,        40.36,BSE SENSEX NEXT 50
