SERIES,SYMBOL,SECURITY,RECORD_DT,BC_STRT_DT,BC_END_DT,EX_DT,ND_STRT_DT,ND_END_DT,PURPOSE
SQ,ISHAN,Ishan International Ltd,25/01/2024, , ,25/01/2024, , ,BONUS 2:1                
SQ,MAHICKRA,Mahickra Chemical Limited, ,17/01/2024,24/01/2024,16/01/2024, , ,EGM                      
ST,MAHICKRA,Mahickra Chemical Limited, ,17/01/2024,24/01/2024,16/01/2024, , ,EGM                      
ST,ISHAN,Ishan International Ltd,25/01/2024, , ,25/01/2024, , ,FVSPLT FRM RS 10 TO RE 1 
ST,RBMINFRA,Rbm Infracon Limited, ,18/01/2024,24/01/2024,17/01/2024, , ,EGM                      
ST,ISHAN,Ishan International Ltd,25/01/2024, , ,25/01/2024, , ,BONUS 2:1                
U3,UGROCAP,Sec Red NCD 10.15% Sr. II,21/01/2024, , ,19/01/2024, , ,INTEREST PAYMENT         
U3,NAVIFIN,Sec Re NCD 9.40% Sr. III,24/01/2024, , ,24/01/2024, , ,INTEREST PAYMENT         
U3,POONAWALLA,Poonawalla Fincorp Ltd,22/01/2024, , ,22/01/2024, , ,INTEREST PAYMENT         
U3,NHAI,8.27% Tax Free Tr I S IA,22/01/2024, , , , , ,INT PAYMENT/REDEMPTION   
U4,UGROCAP,Sec Red NCD 10.40% Sr.III,21/01/2024, , ,19/01/2024, , ,INTEREST PAYMENT         
U4,INCREDFIN,Sec Re NCD 9.45% Sr.I,18/01/2024, , ,18/01/2024, , ,INTEREST PAYMENT         
U4,NHAI,8.52% Tax Free Tr I S IB,22/01/2024, , , , , ,INT PAYMENT/REDEMPTION   
U5,HUDCO,7.51 NCD 16FEB28 Tr1 Sr2,25/01/2024, , ,25/01/2024, , ,INTEREST PAYMENT         
U5,INCREDFIN,Sec Re NCD 9.80% Sr.II,18/01/2024, , ,18/01/2024, , ,INTEREST PAYMENT         
U6,POONAWALLA,Poonawalla Fincorp Ltd,22/01/2024, , ,22/01/2024, , ,INTEREST PAYMENT         
U6,IIFL,IIFL Finance Limited,22/01/2024, , ,22/01/2024, , ,INTEREST PAYMENT         
