EQ,HDFCAMC,HDFC Asset Management Company Limited,INE127D01025,Asset Management Company,info industry NA ,3406.3
EQ,BHEL,Bharat Heavy Electricals Limited,INE257A01026,Heavy Electrical Equipment,ELECTRICAL EQUIPMENT,219.5
EQ,JSWENERGY,JSW Energy Limited,INE121E01018,Power Generation,POWER,488.5
EQ,MAXHEALTH,Max Healthcare Institute Limited,INE027H01010,Hospital,info industry NA ,731.7
EQ,NAUKRI,Info Edge (India) Limited,INE663F01024,Internet & Catalogue Retail,COMPUTERS - SOFTWARE,4978
EQ,BOSCHLTD,Bosch Limited,INE323A01026,Auto Components & Equipments,AUTO ANCILLARIES,22750
EQ,NHPC,NHPC Limited,INE848E01016,Power Generation,POWER,83.15
EQ,AUROPHARMA,Aurobindo Pharma Limited,INE406A01037,Pharmaceuticals,PHARMACEUTICALS,1155
EQ,IDFCFIRSTB,IDFC First Bank Limited,INE092T01019,Private Sector Bank,info industry NA ,80.5
EQ,INDHOTEL,The Indian Hotels Company Limited,INE053A01029,Hotels & Resorts,HOTELS,473.4
EQ,ALKEM,Alkem Laboratories Limited,INE540L01014,Pharmaceuticals,PHARMACEUTICALS,4942
EQ,YESBANK,Yes Bank Limited,INE528G01035,Private Sector Bank,BANKS,24.9
EQ,NMDC,NMDC Limited,INE584A01023,Industrial Minerals,MINING,217.25
EQ,SOLARINDS,Solar Industries India Limited,INE343H01029,Explosives,CHEMICALS - SPECIALITY,6501.2
EQ,LUPIN,Lupin Limited,INE326A01037,Pharmaceuticals,PHARMACEUTICALS,1453.3
EQ,MUTHOOTFIN,Muthoot Finance Limited,INE414G01012,Non Banking Financial Company (NBFC),FINANCE,1396
EQ,SUPREMEIND,Supreme Industries Limited,INE195A01028,Plastic Products - Industrial,PLASTIC AND PLASTIC PRODUCTS,4020
EQ,BHARATFORG,Bharat Forge Limited,INE465A01025,Castings & Forgings,CASTINGS/FORGINGS,1197.4
EQ,PATANJALI,Patanjali Foods Limited,INE619A01035,Edible Oil,info industry NA ,1580
EQ,PERSISTENT,Persistent Systems Limited,INE262H01013,Computers - Software & Consulting,COMPUTERS - SOFTWARE,8342.85
EQ,INDIANB,Indian Bank,INE562A01011,Public Sector Bank,BANKS,458.2
EQ,HINDPETRO,Hindustan Petroleum Corporation Limited,INE094A01015,Refineries & Marketing,REFINERIES,431.9
EQ,PGHH,Procter & Gamble Hygiene and Health Care Limited,INE179A01014,Personal Care,PERSONAL CARE,17109
EQ,GODREJPROP,Godrej Properties Limited,INE484J01027,Residential Commercial Projects,CONSTRUCTION,2332
EQ,LTTS,L&T Technology Services Limited,INE010V01017,IT Enabled Services,info industry NA ,5385
EQ,MRF,MRF Limited,INE883A01011,Tyres & Rubber Products,TYRES,136800.1
EQ,TATAELXSI,Tata Elxsi Limited,INE670A01012,Computers - Software & Consulting,COMPUTERS - SOFTWARE,7659.95
EQ,CUMMINSIND,Cummins India Limited,INE298A01020,Compressors Pumps & Diesel Engines,DIESEL ENGINES,2171.05
EQ,GICRE,General Insurance Corporation of India,INE481Y01014,General Insurance,info industry NA ,354
EQ,INDUSTOWER,Indus Towers Limited,INE121J01017,Telecom - Infrastructure,info industry NA ,225.2
EQ,PIIND,PI Industries Limited,INE603J01030,Pesticides & Agrochemicals,PESTICIDES AND AGROCHEMICALS,3249.8
EQ,ASHOKLEY,Ashok Leyland Limited,INE208A01029,Commercial Vehicles,AUTOMOBILES - 4 WHEELERS,169.9
EQ,AUBANK,AU Small Finance Bank Limited,INE949L01017,Other Bank,info industry NA ,710
EQ,OBEROIRLTY,Oberoi Realty Limited,INE093I01010,Residential Commercial Projects,CONSTRUCTION,1305
EQ,CONCOR,Container Corporation of India Limited,INE111A01025,Logistics Solution Provider,TRAVEL AND TRANSPORT,825
EQ,FACT,Fertilizers and Chemicals Travancore Limited,INE188A01015,Fertilizers,FERTILISERS,885
EQ,SUZLON,Suzlon Energy Limited,INE040H01021,Heavy Electrical Equipment,ELECTRICAL EQUIPMENT,42.45
EQ,MPHASIS,MphasiS Limited,INE356A01018,Computers - Software & Consulting,COMPUTERS - SOFTWARE,2525.1
EQ,BANKINDIA,Bank of India,INE084A01016,Public Sector Bank,BANKS,131.25
EQ,ASTRAL,Astral Limited,INE006I01046,Plastic Products - Industrial,PLASTIC AND PLASTIC PRODUCTS,1799
EQ,SAIL,Steel Authority of India Limited,INE114A01011,Iron & Steel,STEEL AND STEEL PRODUCTS,119.5
EQ,TATACOMM,Tata Communications Limited,INE151A01013,Telecom - Cellular & Fixed line services,TELECOMMUNICATION - SERVICES,1716.4
EQ,SCHAEFFLER,Schaeffler India Limited,INE513A01022,Auto Components & Equipments,info industry NA ,3113.9
EQ,BALKRISIND,Balkrishna Industries Limited,INE787D01026,Tyres & Rubber Products,TYRES,2531.9
EQ,NYKAA,FSN E-Commerce Ventures Limited,INE388Y01029,E-Retail/ E-Commerce,info industry NA ,161.75
EQ,GMRINFRA,GMR Airports Infrastructure Limited,INE776C01039,Airport & Airport services,CONSTRUCTION,77.7
EQ,LINDEINDIA,Linde India Limited,INE473A01011,Industrial Gases,GAS,5702
EQ,TATATECH,Tata Technologies Limited,INE142M01025,IT Enabled Services,info industry NA ,1145.45
EQ,UCOBANK,UCO Bank,INE691A01018,Public Sector Bank,BANKS,41.25
EQ,PRESTIGE,Prestige Estates Projects Limited,INE811K01011,Residential Commercial Projects,CONSTRUCTION,1177
EQ,UBL,United Breweries Limited,INE686F01025,Breweries & Distilleries,BREW/DISTILLERIES,1838.6
EQ,JSL,Jindal Stainless Limited,INE220G01021,Iron & Steel,STEEL AND STEEL PRODUCTS,536
EQ,AWL,Adani Wilmar Limited,INE699H01024,Edible Oil,info industry NA ,350.9
