360 ONE WAM LIMITED           ,360ONE    ,EQ,N,0000646.55,0000646.55,0000654.50,0000638.10,0000643.05,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
3I INFOTECH LIMITED           ,3IINFOLTD ,EQ,N,0000053.60,0000053.50,0000053.95,0000051.50,0000052.95,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
3M INDIA LIMITED              ,3MINDIA   ,EQ,N,0034345.40,0034339.00,0034418.50,0033701.00,0034092.75,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
3P LAND HOLDINGS LIMITED      ,3PLAND    ,EQ,N,0000034.60,0000035.10,0000035.70,0000033.05,0000034.35,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
5PAISA CAPITAL LIMITED        ,5PAISA    ,EQ,N,0000603.00,0000597.35,0000614.90,0000586.25,0000597.20,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
63 MOONS TECHNOLOGIES LTD     ,63MOONS   ,BE,N,0000438.90,0000440.10,0000444.40,0000420.05,0000422.50,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
7.34 NCD 19FEB28 TR1 SR2      ,IRFC      ,N4,N,0001087.45,0001100.00,0001101.99,0001085.15,0001090.99,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
7.35% TAX FREE TRI SRIIA      ,NABARD    ,N1,N,0001174.50,0001175.00,0001175.00,0001175.00,0001175.00,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
7.64% TAX FREE TRI SRIIB      ,NABARD    ,N2,N,0001180.55,0001185.00,0001185.20,0001182.25,0001182.96,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
7.64% TAX FREETRI SR2B        ,HUDCO     ,N8,N,0001124.16,0001124.99,0001124.99,0001124.99,0001124.99,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
7.74% TAX FREE NCD            ,IREDA     ,N7,N,0001120.30,0001121.25,0001121.25,0001118.50,0001119.85,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
8.12/8.32% TAX FREE NCD       ,RECLTD    ,NI,N,0001129.00,0001127.99,0001127.99,0001127.99,0001127.99,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
8.20 NCD05MAR27 FV 1000       ,HUDCO     ,N2,N,0001154.00,0001163.00,0001163.00,0001163.00,0001163.00,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
8.30% TAX FREE NCD            ,PFC       ,N5,N,0001102.50,0001101.00,0001101.00,0001101.00,0001101.00,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
8.49% SEC NON-CUM RED NCD     ,NTPC      ,N7,N,0000010.71,0000010.71,0000010.74,0000010.70,0000010.72,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
8.50% TAX FREE TR I S IIA     ,NHAI      ,N5,N,0001190.00,0001201.00,0001202.00,0001201.00,0001202.00,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
8.52% TAX FREE TR I S IB      ,NHAI      ,N4,N,0001082.97,0001081.00,0001082.97,0001080.50,0001081.44,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
8.54% SEC RED BOND S2A        ,NHPC      ,N2,N,0001354.99,0001354.99,0001354.99,0001342.05,0001342.05,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
8.75% TAX FREE TR I S IIB     ,NHAI      ,N6,N,0001228.80,0001228.00,0001240.00,0001228.00,0001230.50,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
8.76% TAX FREETRI SR2B        ,HUDCO     ,ND,N,0001149.19,0001164.70,0001164.70,0001161.75,0001161.75,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
8.91% TAX FREE NCD            ,IIFCL     ,N4,N,0001251.15,0001259.00,0001259.00,0001259.00,0001259.00,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
8.91%S-R-NCD SERIES 3B        ,NTPC      ,N6,N,0001270.00,0001265.00,0001269.90,0001263.60,0001263.88,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
8.92% SEC RED BOND S3B        ,NHPC      ,N6,N,0001320.56,0001325.00,0001325.00,0001325.00,0001325.00,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
8.92% TAX FREE NCD            ,PFC       ,N8,N,0001288.00,0001288.00,0001288.00,0001282.00,0001285.00,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
9.00% UNSECURED NCD           ,M&MFIN    ,N2,N,0001070.00,0001066.05,0001066.05,0001066.05,0001066.05,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
